"","species","stock","log_a_med","log_a_LCI","log_a_UCI","gamma_med","gamma_LCI","gamma_UCI","w_med","w_LCI","w_UCI","min_ESS","min_Rhat"
"25%...50","Sockeye","Misc. Harrison/Lillooet-Sockeye",1.10156045950471,0.00370394260546702,1.82090647494488,0.5,0.247181752220896,0.752818247779104,-0.0206336310426471,-0.651241680678695,0.635640704417702,1.00693860493305,Inf
"25%...51","Sockeye","Alastair-Sockeye",1.32457871467636,1.08289984294286,1.55775648574829,0.5,0.432058723858026,0.567941276141974,-0.00166026981727065,-0.599465530197828,0.586176709341563,1.00683351738807,Inf
"25%...52","Sockeye","Asitka-Sockeye",1.73041888188207,0.950217751744573,2.34451642566405,0.5,0.250495243775724,0.749504756224276,0.000781607334726903,-0.670563690325283,0.659047153857796,1.00693306248394,Inf
"25%...53","Sockeye","Babine Early Wild-Sockeye",1.06612947004184,0.706958851650487,1.37481385058126,0.5,0.383910825470792,0.616089174529208,-2.95535044431781e-05,-0.668879041710199,0.634274418034995,1.00892658320253,Inf
"25%...54","Sockeye","Babine Late Wild-Sockeye",1.19574249939984,0.815159710192675,1.60551389478971,0.5,0.358964683102276,0.641035316897724,-0.0173410498021083,-0.692638212149976,0.686477123427611,1.00612689928779,Inf
"25%...55","Sockeye","Babine Mid Wild-Sockeye",1.43814974494577,1.15564814004978,1.74801396524198,0.5,0.424713166013721,0.575286833986279,-0.035312617359043,-0.703578853272152,0.622671388636607,1.00495228899431,Inf
"25%...56","Sockeye","Bear-Skeena-Sockeye",1.91074730779015,1.66807865348108,2.16597682639765,0.5,0.389911991131938,0.610088008868062,-0.0328850684589038,-0.608533747938313,0.573262560130871,1.00646158946571,Inf
"25%...57","Sockeye","Damdochax-Sockeye",1.78635646638913,1.51087786420489,2.17369448910356,0.5,0.336201359759362,0.663798640240638,-0.021463551822468,-0.665971715713502,0.605834872877767,1.00812634685139,Inf
"25%...58","Sockeye","Fulton-Sockeye",1.83515865275246,1.53305575166283,2.11696139805662,0.5,0.428162212836085,0.571837787163915,0.0370141464938391,-0.578141726954347,0.673335021677909,1.00531570872593,Inf
"25%...59","Sockeye","Johnston-Sockeye",1.71442179889084,0.516326424760149,2.67411258291561,0.5,0.0003625564411463,0.999637443558854,0.0226675602655714,-0.639070593071099,0.692674176612263,1.0243958072277,Inf
"25%...60","Sockeye","Kitsumkalum-Sockeye",1.3015078690942,0.995472509367523,1.62205757187265,0.5,0.371003909571501,0.628996090428499,0.0231827236111727,-0.654113120075255,0.675208591165851,1.0084466305842,Inf
"25%...61","Sockeye","Kitwanga-Sockeye",1.09081950539486,-0.188381140108386,1.91650035118087,0.5,0.0243701266445368,0.975629873355463,0.0220757017904189,-0.643550352481855,0.703931520931249,1.01696580010819,Inf
"25%...62","Sockeye","Kwinageese-Sockeye",1.68763071536888,1.2559432071002,2.15811678770368,0.5,0.352353502372035,0.647646497627965,0.0173042595388811,-0.598320571678242,0.633390507231806,1.00752066454149,Inf
"25%...63","Sockeye","Lakelse-Sockeye",1.04814898511272,0.69062342778302,1.46116401413469,0.5,0.325558554002376,0.674441445997624,-0.00726960827327564,-0.589165115235661,0.642791996061292,1.00764276793889,Inf
"25%...64","Sockeye","Lower Nass Sea & River Type-Sockeye",1.26443951463438,0.703706131430036,1.72337034121769,0.5,0.353480480765063,0.646519519234937,0.00225746693747325,-0.613804505759758,0.63150365186133,1.00887214910555,Inf
